------------------------------
614e5c1f                                 littlefs-reg2mem.bc                                                        
format_value_with_precision_and_unit: format_value_with_precision_and_unit <0
cgroups_main: cgroups_main emptyset
rrdvar_index_del: rrdvar_index_del <0
uptime_from_boottime: uptime_from_boottime '==0
registry_machine_link_to_url: registry_machine_link_to_url '==0
inet_ntop: inet_ntop '==0
usleep: usleep <0
web_content_type_to_string: web_content_type_to_string emptyset
rrdvar_index_add: rrdvar_index_add <0
vsnprintfz: vsnprintfz <0
netdata_thread_join: netdata_thread_join >0
vsnprintf: vsnprintf <0
atol: atol '==0
bind: bind <0
listen_sockets_add: listen_sockets_add <0
person_url_compare: person_url_compare emptyset
avl_search: avl_search emptyset
now_boottime_usec: now_boottime_usec '==0
now_monotonic_sec: now_monotonic_sec '==0
parse_minus: parse_minus '==0
now_sec: now_sec '==0
setuid: setuid <0
appconfig_index_find: appconfig_index_find emptyset
getgrgid: getgrgid '==0
do_proc_meminfo: do_proc_meminfo '==0
rrdset_find_bytype: rrdset_find_bytype emptyset
simple_hash: simple_hash emptyset
setresgid: setresgid <0
backends_can_send_rrdset: backends_can_send_rrdset '==0
health_alarm_log_read: health_alarm_log_read '==0
appconfig_section_compare: appconfig_section_compare emptyset
strcasestr: strcasestr '==0
vprintf: vprintf <0
grouping_flush_des: grouping_flush_des emptyset
netdata_thread_detach: netdata_thread_detach >0
appconfig_get_number: appconfig_get_number '==0
waitid: waitid <0
avl_remove: avl_remove emptyset
pthread_create: pthread_create >0
regenerate_guid: regenerate_guid <0
appconfig_section_create: appconfig_section_create '==0
str2uint64_t: str2uint64_t emptyset
getrusage: getrusage <0
readdir: readdir '==0
rrdset_find: rrdset_find emptyset
check_strdupz_path_subpath: check_strdupz_path_subpath >0
__netdata_rwlock_unlock: __netdata_rwlock_unlock >0
pthread_rwlock_unlock: pthread_rwlock_unlock >0
procfile_filename: procfile_filename <0
sigfillset: sigfillset >0
snprintf: snprintf <0
rrdvar_fix_name: rrdvar_fix_name '==0
appconfig_get: appconfig_get '==0
statsd_algorithm_for_metric: statsd_algorithm_for_metric emptyset
do_proc_net_sockstat: do_proc_net_sockstat '==0
atoll: atoll '==0
socket: socket <0
rrd_memory_mode_id: rrd_memory_mode_id emptyset
now_boottime_timeval: now_boottime_timeval <0
prometheus_units_copy: prometheus_units_copy emptyset
web_client_create_on_listenfd: web_client_create_on_listenfd '==0
pthread_attr_init: pthread_attr_init >0
web_client_receive: web_client_receive <0
web_server_file_add_callback: web_server_file_add_callback emptyset
strtoull: strtoull '==0
getrlimit: getrlimit <0
rrdr2value: rrdr2value emptyset
parse_greater: parse_greater '==0
sched_get_priority_min: sched_get_priority_min <0
write: write <0
mountinfo_read: mountinfo_read '==0
mypopen: mypopen '==0
getpwuid: getpwuid '==0
arl_expect_custom: arl_expect_custom '==0
avl_walker: avl_walker <0
prometheus_label_copy: prometheus_label_copy emptyset
nanosleep: nanosleep <0
rrdset_index_find_name: rrdset_index_find_name emptyset
web_client_api_request_v1_data_format: web_client_api_request_v1_data_format emptyset
opendir: opendir '==0
putchar: putchar <0
sched_getscheduler: sched_getscheduler <0
average: average emptyset
sched_getparam: sched_getparam <0
ftruncate: ftruncate <0
standard_deviation: standard_deviation '==0
escape_xmlz: escape_xmlz emptyset
dirname: dirname '==0
web_client_send: web_client_send <0
setvbuf: setvbuf !=0
statsd_private_rrdset_create: statsd_private_rrdset_create '==0
simple_pattern_matches_extract: simple_pattern_matches_extract '==0
dt_usec_signed: dt_usec_signed emptyset
rrdset_type_name: rrdset_type_name emptyset
syscall: syscall <0
rrdvar_index_find: rrdvar_index_find emptyset
pthread_mutex_init: pthread_mutex_init >0
median_on_sorted_series: median_on_sorted_series emptyset
parse_multiply: parse_multiply '==0
appconfig_value_create: appconfig_value_create '==0
callocz: callocz '==0
fileno: fileno <0
registry_machine_allocate: registry_machine_allocate '==0
pthread_cancel: pthread_cancel >0
pthread_rwlock_trywrlock: pthread_rwlock_trywrlock >0
fopen: fopen '==0
statsd_parse_field_trim: statsd_parse_field_trim emptyset
strtof: strtof '==0
registry_fix_machine_name: registry_fix_machine_name emptyset
gethostname: gethostname <0
path_is_dir: path_is_dir '==0
fprintf: fprintf <0
main: main >=0
rrdset_find_byname: rrdset_find_byname emptyset
statsd_file_callback: statsd_file_callback <0
memory_file_mmap: memory_file_mmap '==0
toupper: toupper emptyset
rrd_algorithm_id: rrd_algorithm_id emptyset
connect: connect <0
strtoll: strtoll '==0
pthread_rwlock_init: pthread_rwlock_init >0
rrdcalc_is_matching_this_rrdset: rrdcalc_is_matching_this_rrdset emptyset
rrdfamily_create: rrdfamily_create '==0
web_client_api_request_v1_charts: web_client_api_request_v1_charts emptyset
setresuid: setresuid <0
strftime: strftime emptyset
softnet_column_name: softnet_column_name emptyset
web_response_code_to_string: web_response_code_to_string emptyset
prometheus_server_last_access: prometheus_server_last_access '==0
pthread_rwlock_destroy: pthread_rwlock_destroy >0
getnameinfo: getnameinfo >0
now_usec: now_usec '==0
ferror: ferror emptyset
recursively_delete_dir: recursively_delete_dir <=0
health_parse_duration: health_parse_duration '==0
rrdset_index_find: rrdset_index_find emptyset
tc_class_add: tc_class_add '==0
strtoul: strtoul '==0
multi_threaded_web_client_worker_main: multi_threaded_web_client_worker_main emptyset
strtod: strtod '==0
parse_operator: parse_operator '==0
send_timeout: send_timeout <0
__netdata_rwlock_rdlock: __netdata_rwlock_rdlock >0
pthread_mutex_lock: pthread_mutex_lock >0
statsd_add_callback: statsd_add_callback '==0
getaddrinfo: getaddrinfo >0
strerror_result: strerror_result emptyset
registry_person_find: registry_person_find emptyset
avl_remove_lock: avl_remove_lock emptyset
rrdset_index_del_name: rrdset_index_del_name emptyset
fgets: fgets '==0
web_client_uncrock_socket: web_client_uncrock_socket <0
pthread_sigmask: pthread_sigmask >0
strncmp: strncmp emptyset
setgroups: setgroups <0
recv: recv <0
web_client_read_file: web_client_read_file <0
is_true: is_true emptyset
pthread_mutex_unlock: pthread_mutex_unlock >0
fflush: fflush <0
buffer_tostring: buffer_tostring emptyset
grouping_flush_min: grouping_flush_min emptyset
value_is_zinit: value_is_zinit emptyset
calloc: calloc '==0
sprintf: sprintf <0
eval_sign_plus: eval_sign_plus <0
find_btrfs_disks: find_btrfs_disks '==0
pflines_add: pflines_add emptyset
rrdset_cache_dir: rrdset_cache_dir '==0
eval_value: eval_value <0
avl_insert: avl_insert emptyset
statfs: statfs <0
send: send <0
localtime_r: localtime_r '==0
malloc: malloc '==0
madvise: madvise <0
socket_listen_main_multi_threaded: socket_listen_main_multi_threaded emptyset
mmap: mmap '==0
fputc: fputc <0
process_graphite_response: process_graphite_response emptyset
appconfig_get_boolean: appconfig_get_boolean '==0
str2ll: str2ll emptyset
registry_db_should_be_saved: registry_db_should_be_saved emptyset
setenv: setenv <0
strcmp: strcmp emptyset
mystrsep: mystrsep '==0
pthread_attr_setstacksize: pthread_attr_setstacksize >0
dup2: dup2 <0
procfile_readall: procfile_readall '==0
seteuid: seteuid <0
web_server_add_callback: web_server_add_callback '==0
rrdcalc_exists: rrdcalc_exists >0
tc_device_create: tc_device_create '==0
__errno_location: __errno_location '==0
getgrnam: getgrnam '==0
pthread_rwlock_wrlock: pthread_rwlock_wrlock >0
strcpy: strcpy emptyset
fstat: fstat <0
pthread_detach: pthread_detach >0
vfprintf: vfprintf <0
need_to_send_chart_definition: need_to_send_chart_definition emptyset
strdupz_path_subpath: strdupz_path_subpath '==0
parse_open_subexpression: parse_open_subexpression emptyset
strlen: strlen emptyset
dictionary_create: dictionary_create '==0
diskspace_main: diskspace_main emptyset
strncpy: strncpy emptyset
inet_pton: inet_pton >0
statvfs: statvfs <0
print_host_variables: print_host_variables '==0
arl_create: arl_create '==0
poll_default_rcv_callback: poll_default_rcv_callback <0
parse_rest_of_expression: parse_rest_of_expression '==0
rrd_memory_mode_name: rrd_memory_mode_name emptyset
sched_setscheduler: sched_setscheduler <0
accept4: accept4 <0
setgid: setgid <0
str2ld: str2ld '==0
rmdir: rmdir <0
bind_to_this: bind_to_this <=0
atof: atof '==0
do_proc_net_stat_conntrack: do_proc_net_stat_conntrack '==0
snprintfz: snprintfz <0
memory_file_save: memory_file_save <0
pack_storage_number: pack_storage_number emptyset
avl_traverse_lock: avl_traverse_lock <0
grouping_flush_incremental_sum: grouping_flush_incremental_sum emptyset
pthread_setcanceltype: pthread_setcanceltype >0
poll: poll <0
getpwnam: getpwnam '==0
recv_timeout: recv_timeout <0
health_variable_lookup: health_variable_lookup emptyset
pause: pause <0
add_dimension_to_app_chart: add_dimension_to_app_chart '==0
execl: execl <0
arl_check: arl_check '==0
sigemptyset: sigemptyset >0
become_user: become_user <0
do_proc_net_sockstat6: do_proc_net_sockstat6 '==0
rrddim_add_custom: rrddim_add_custom '==0
mountinfo_find_by_filesystem_mount_source: mountinfo_find_by_filesystem_mount_source emptyset
__netdata_mutex_lock: __netdata_mutex_lock >0
fclose: fclose <0
setrlimit: setrlimit <0
dictionary_get: dictionary_get emptyset
close: close <0
registry_url_index_add: registry_url_index_add emptyset
__netdata_rwlock_destroy: __netdata_rwlock_destroy >0
clock_gettime: clock_gettime <0
killpid: killpid <0
pthread_attr_getstacksize: pthread_attr_getstacksize >0
mallocz: mallocz '==0
fcntl: fcntl <0
rrdsetvar_create: rrdsetvar_create '==0
parse_one_full_operand: parse_one_full_operand '==0
format_value_and_unit: format_value_and_unit <0
mean: mean emptyset
strtold: strtold '==0
grouping_flush_coefficient_of_variation: grouping_flush_coefficient_of_variation emptyset
chdir: chdir <0
realloc: realloc '==0
fchown: fchown <0
unpack_storage_number: unpack_storage_number emptyset
setsockopt: setsockopt <0
mkdir: mkdir <0
registry_person_allocate: registry_person_allocate '==0
eval_less: eval_less '==0
appconfig_option_index_find: appconfig_option_index_find emptyset
pthread_setcancelstate: pthread_setcancelstate >0
strdup: strdup '==0
link: link <0
appconfig_option_compare: appconfig_option_compare emptyset
api_listen_sockets_setup: api_listen_sockets_setup >0
setegid: setegid <0
strncpyz: strncpyz emptyset
grouping_flush_sum: grouping_flush_sum emptyset
access: access <0
select: select <0
fdopen: fdopen '==0
rrd2rrdr: rrd2rrdr '==0
lstat: lstat <0
rrdset_type_id: rrdset_type_id emptyset
gai_strerror: gai_strerror '==0
statsd_main: statsd_main emptyset
grouping_create_max: grouping_create_max '==0
registry_get_this_machine_hostname: registry_get_this_machine_hostname emptyset
lseek: lseek <0
proc_main: proc_main emptyset
strstr: strstr '==0
sum_and_count: sum_and_count emptyset
parse_if_then_else: parse_if_then_else emptyset
cgroup_chart_id_strdupz: cgroup_chart_id_strdupz '==0
setsid: setsid <0
web_client_api_request_v1: web_client_api_request_v1 >0
unlink: unlink <0
strtol: strtol '==0
avl_search_lock: avl_search_lock emptyset
print_number_lu_r: print_number_lu_r emptyset
path_is_file: path_is_file '==0
rrdvar_custom_variable_create: rrdvar_custom_variable_create '==0
name_value_compare: name_value_compare emptyset
execle: execle <0
pthread_join: pthread_join >0
chown: chown <0
now_realtime_timeval: now_realtime_timeval <0
nice: nice <0
rrdr_create: rrdr_create '==0
listen: listen <0
pthread_mutex_trylock: pthread_mutex_trylock >0
registry_person_url_index_find: registry_person_url_index_find emptyset
web_client_api_request_v1_data_group: web_client_api_request_v1_data_group emptyset
rrdcalc_create: rrdcalc_create '==0
rrdset_create_custom: rrdset_create_custom '==0
simple_pattern_create: simple_pattern_create '==0
cgroup_chart_type: cgroup_chart_type emptyset
sqrtl: sqrtl '==0
accept_socket: accept_socket <0
registry_person_url_reallocate: registry_person_url_reallocate '==0
variance: variance emptyset
rrddim_find: rrddim_find emptyset
is_read_only: is_read_only '==0
single_threaded_unlink_client: single_threaded_unlink_client emptyset
rrddim_set_name: rrddim_set_name '==0
eval_not_equal: eval_not_equal <0
now_timeval: now_timeval <0
timeval_usec: timeval_usec emptyset
getenv: getenv '==0
dt_usec: dt_usec emptyset
rrd_algorithm_name: rrd_algorithm_name emptyset
rrddimvar_create: rrddimvar_create '==0
rrddim_set_by_pointer: rrddim_set_by_pointer '==0
rrdfamily_compare: rrdfamily_compare emptyset
parse_or: parse_or '==0
registry_person_url_allocate: registry_person_url_allocate '==0
__netdata_rwlock_init: __netdata_rwlock_init >0
rrdset_init_last_collected_time: rrdset_init_last_collected_time emptyset
rrdset_update_last_collected_time: rrdset_update_last_collected_time emptyset
avl_insert_lock: avl_insert_lock emptyset
should_send_chart_matching: should_send_chart_matching '==0
connect_to_one_of: connect_to_one_of <0
netdata_thread_create: netdata_thread_create >0
discard_response: discard_response emptyset
check_if_resumed_from_suspention: check_if_resumed_from_suspention '==0
pflines_new: pflines_new '==0
pfwords_new: pfwords_new '==0
procfile_open: procfile_open '==0
strdup_client_description: strdup_client_description '==0
str2ul: str2ul emptyset
grouping_create_incremental_sum: grouping_create_incremental_sum '==0
strdupz_decoding_octal: strdupz_decoding_octal '==0
statsd_find_or_add_metric: statsd_find_or_add_metric '==0
appconfig_move: appconfig_move <0
parse_pattern: parse_pattern '==0
eval_node_alloc: eval_node_alloc '==0
strchr: strchr '==0
eval_node: eval_node emptyset
web_client_api_request_v1_data_google_format: web_client_api_request_v1_data_google_format emptyset
dictionary_name_value_create_nolock: dictionary_name_value_create_nolock '==0
dictionary_set: dictionary_set emptyset
connect_to_this_ip46: connect_to_this_ip46 <0
dictionary_walker: dictionary_walker <0
dictionary_get_all: dictionary_get_all <0
chmod: chmod <0
mountinfo_find_by_filesystem_super_option: mountinfo_find_by_filesystem_super_option emptyset
sock_setreuse: sock_setreuse <0
eval_if_then_else: eval_if_then_else <0
find_dir_in_subdirs: find_dir_in_subdirs <0
connect_to_unix: connect_to_unix <0
expression_parse: expression_parse '==0
procfile_reopen: procfile_reopen '==0
rrdvar2number: rrdvar2number emptyset
grouping_flush_average: grouping_flush_average emptyset
statsd_metric_compare: statsd_metric_compare emptyset
now_realtime_sec: now_realtime_sec '==0
str2ull: str2ull emptyset
statsd_listen_sockets_setup: statsd_listen_sockets_setup >=0
from_hex: from_hex emptyset
read_file: read_file >0
read_single_number_file: read_single_number_file >0
cpuidlejitter_main: cpuidlejitter_main emptyset
config_isspace: config_isspace emptyset
tc_space: tc_space emptyset
heartbeat_monotonic_dt_to_now_usec: heartbeat_monotonic_dt_to_now_usec '==0
tc_class_index_find: tc_class_index_find emptyset
web_client_api_request_v1_data_options: web_client_api_request_v1_data_options emptyset
mypclose: mypclose '==0
reallocz: reallocz '==0
tc_main: tc_main emptyset
prctl: prctl <0
stddev: stddev '==0
sock_setnonblock: sock_setnonblock <0
create_listen_socket_unix: create_listen_socket_unix <0
avl_traverse: avl_traverse <0
sock_setreuse_port: sock_setreuse_port <0
sched_get_priority_max: sched_get_priority_max <0
eval_variable: eval_variable <0
do_proc_uptime: do_proc_uptime >0
quoted_strings_splitter: quoted_strings_splitter emptyset
pthread_rwlock_rdlock: pthread_rwlock_rdlock >0
create_listen_socket4: create_listen_socket4 <0
to_hex: to_hex emptyset
create_listen_socket6: create_listen_socket6 <0
__netdata_mutex_unlock: __netdata_mutex_unlock >0
listen_sockets_setup: listen_sockets_setup >=0
rrdfamily_index_find: rrdfamily_index_find emptyset
statsd_metric_type_string: statsd_metric_type_string emptyset
rrdhost_find_or_create: rrdhost_find_or_create '==0
rename: rename <0
eval_minus: eval_minus <0
valuetype2string: valuetype2string emptyset
registry_url_get: registry_url_get '==0
statsd_add_dim_to_app_chart: statsd_add_dim_to_app_chart emptyset
backend_parse_data_source: backend_parse_data_source emptyset
open_log_file: open_log_file '==0
memory_file_mmap_ksm: memory_file_mmap_ksm '==0
connect_to_this: connect_to_this <0
gettid: gettid <0
appconfig_set_number: appconfig_set_number emptyset
web_client_send_chunk_finalize: web_client_send_chunk_finalize <0
strip_control_characters: strip_control_characters emptyset
sock_enlarge_out: sock_enlarge_out <0
web_client_alloc: web_client_alloc '==0
parse_equal: parse_equal '==0
mount_point_cleanup: mount_point_cleanup emptyset
web_client_connected: web_client_connected emptyset
web_client_get_from_cache_or_allocate: web_client_get_from_cache_or_allocate '==0
simple_uhash: simple_uhash emptyset
grouping_create_ses: grouping_create_ses '==0
do_proc_net_rpc_nfsd: do_proc_net_rpc_nfsd '==0
parse_less: parse_less '==0
appconfig_get_boolean_ondemand: appconfig_get_boolean_ondemand emptyset
http_header_parse: http_header_parse emptyset
registry_person_url_index_add: registry_person_url_index_add emptyset
parse_plus: parse_plus '==0
thread_start: thread_start emptyset
http_request_validate: http_request_validate >0
now_monotonic_timeval: now_monotonic_timeval <0
rrdhost_find_by_hostname: rrdhost_find_by_hostname emptyset
statsd_rcv_callback: statsd_rcv_callback '==0
trim_all: trim_all emptyset
rrdhost_find_by_guid: rrdhost_find_by_guid emptyset
web_files_uid: web_files_uid emptyset
web_files_gid: web_files_gid emptyset
contenttype_for_filename: contenttype_for_filename emptyset
web_client_switch_host: web_client_switch_host >0
web_client_crock_socket: web_client_crock_socket <0
web_client_send_chunk_header: web_client_send_chunk_header <0
netdata_thread_cancel: netdata_thread_cancel >0
web_client_send_deflate: web_client_send_deflate <0
single_threaded_link_client: single_threaded_link_client '==0
do_ipc: do_ipc '==0
socket_listen_main_single_threaded: socket_listen_main_single_threaded emptyset
now_boottime_sec: now_boottime_sec '==0
web_client_process_url: web_client_process_url >0
netdata_thread_tag: netdata_thread_tag emptyset
poll_add_fd: poll_add_fd '==0
registry_person_url_index_del: registry_person_url_index_del emptyset
socket_listen_main_static_threaded_worker: socket_listen_main_static_threaded_worker emptyset
socket_listen_main_static_threaded: socket_listen_main_static_threaded emptyset
rrdvar_callback_for_all_host_variables: rrdvar_callback_for_all_host_variables <0
sleep: sleep emptyset
rrdvar_compare: rrdvar_compare emptyset
fork: fork <0
pluginsd_main: pluginsd_main emptyset
open: open <0
rrdcalc_isrunnable: rrdcalc_isrunnable '==0
rrdset_first_slot: rrdset_first_slot emptyset
rrdset_time2slot: rrdset_time2slot emptyset
rrdr_line_init: rrdr_line_init emptyset
rrdcalc_status2string: rrdcalc_status2string emptyset
health_main: health_main emptyset
expression_evaluate: expression_evaluate '==0
rrdhost_compare: rrdhost_compare emptyset
eval_nop: eval_nop <0
eval_not: eval_not <0
eval_and: eval_and emptyset
registry_person_link_to_url: registry_person_link_to_url '==0
access_to_file_is_not_permitted: access_to_file_is_not_permitted emptyset
eval_or: eval_or emptyset
eval_multiply: eval_multiply <0
grouping_flush_max: grouping_flush_max emptyset
health_readfile: health_readfile '==0
pthread_rwlock_tryrdlock: pthread_rwlock_tryrdlock >0
closedir: closedir <0
eval_plus: eval_plus <0
eval_divide: eval_divide <0
eval_equal: eval_equal <0
mypopene: mypopene '==0
group_method2string: group_method2string emptyset
eval_abs: eval_abs <0
