ef786082                                 mbedtls-reg2mem.bc                                                         
mbedtls_cipher_get_key_bitlen: mbedtls_cipher_get_key_bitlen emptyset
mbedtls_ecdh_can_do: mbedtls_ecdh_can_do emptyset
mbedtls_net_send: mbedtls_net_send <0
mbedtls_net_recv_timeout: mbedtls_net_recv_timeout <0
mbedtls_net_recv: mbedtls_net_recv <0
mbedtls_net_poll: mbedtls_net_poll <0
mbedtls_net_set_nonblock: mbedtls_net_set_nonblock <0
mbedtls_net_accept: mbedtls_net_accept <0
ecp_mod_p255: ecp_mod_p255 <0
blowfish_setkey_wrap: blowfish_setkey_wrap <0
ecp_mod_p256k1: ecp_mod_p256k1 <0
pk_write_ec_param: pk_write_ec_param <0
ciphersuite_is_removed: ciphersuite_is_removed emptyset
ecp_mod_p224k1: ecp_mod_p224k1 <0
mbedtls_pk_write_key_pem: mbedtls_pk_write_key_pem <0
ecp_mod_koblitz: ecp_mod_koblitz <0
arc4_ctx_alloc: arc4_ctx_alloc '==0
ecp_mod_p521: ecp_mod_p521 <0
ecp_mod_p256: ecp_mod_p256 <0
eckey_alloc_wrap: eckey_alloc_wrap '==0
mbedtls_x509_csr_parse_der: mbedtls_x509_csr_parse_der <0
mbedtls_ecp_check_pub_priv: mbedtls_ecp_check_pub_priv <0
mbedtls_ssl_dtls_record_replay_check: mbedtls_ssl_dtls_record_replay_check emptyset
ssl_decrypt_encrypted_pms: ssl_decrypt_encrypted_pms <0
mbedtls_ecdsa_read_signature: mbedtls_ecdsa_read_signature <0
eckey_can_do: eckey_can_do emptyset
oid_cipher_alg_from_asn1: oid_cipher_alg_from_asn1 emptyset
blowfish_crypt_cbc_wrap: blowfish_crypt_cbc_wrap <0
psa_hash_compare: psa_hash_compare <0
mbedtls_ssl_get_verify_result: mbedtls_ssl_get_verify_result emptyset
psa_hash_verify: psa_hash_verify <0
ssl_write_hello_request: ssl_write_hello_request <0
mbedtls_mpi_write_file: mbedtls_mpi_write_file <0
mbedtls_mpi_self_test: mbedtls_mpi_self_test <0
psa_generate_key: psa_generate_key <0
mbedtls_rsa_gen_key: mbedtls_rsa_gen_key <0
x509_date_is_valid: x509_date_is_valid emptyset
mbedtls_x509_crt_verify_restartable: mbedtls_x509_crt_verify_restartable <0
mbedtls_mpi_is_prime_ext: mbedtls_mpi_is_prime_ext <0
get_zeros_padding: get_zeros_padding <0
psa_generate_key_internal: psa_generate_key_internal <0
psa_read_rsa_exponent: psa_read_rsa_exponent <0
exercise_key: exercise_key '==0
psa_key_agreement_raw_internal: psa_key_agreement_raw_internal <0
psa_aead_decrypt: psa_aead_decrypt <0
mbedtls_ecdh_get_params: mbedtls_ecdh_get_params <0
exercise_asymmetric_encryption_key: exercise_asymmetric_encryption_key '==0
psa_hash_clone: psa_hash_clone <0
psa_key_derivation_hkdf_read: psa_key_derivation_hkdf_read <0
setup_key_derivation_wrap: setup_key_derivation_wrap '==0
pk_group_id_from_group: pk_group_id_from_group <0
psa_key_derivation_input_key: psa_key_derivation_input_key <0
psa_restrict_key_policy: psa_restrict_key_policy <0
psa_key_derivation_input_internal: psa_key_derivation_input_internal <0
mbedtls_ssl_ciphersuite_from_id: mbedtls_ssl_ciphersuite_from_id emptyset
mbedtls_ssl_ticket_parse: mbedtls_ssl_ticket_parse <0
mbedtls_ssl_parse_change_cipher_spec: mbedtls_ssl_parse_change_cipher_spec <0
psa_get_key_attributes: psa_get_key_attributes <0
mbedtls_cipher_info_from_values: mbedtls_cipher_info_from_values emptyset
ssl_write_server_key_exchange: ssl_write_server_key_exchange <0
psa_tls12_prf_set_label: psa_tls12_prf_set_label <0
pk_get_ecparams: pk_get_ecparams <0
psa_key_derivation_check_input_type: psa_key_derivation_check_input_type <0
size_greater_than: size_greater_than emptyset
psa_import_key_into_slot: psa_import_key_into_slot <0
exercise_key_derivation_key: exercise_key_derivation_key '==0
mbedtls_cipher_get_block_size: mbedtls_cipher_get_block_size emptyset
psa_asymmetric_encrypt: psa_asymmetric_encrypt <0
mbedtls_x509_csr_parse: mbedtls_x509_csr_parse <0
psa_crypto_init: psa_crypto_init <0
mbedtls_rsa_rsaes_pkcs1_v15_encrypt: mbedtls_rsa_rsaes_pkcs1_v15_encrypt <0
psa_ecdsa_verify: psa_ecdsa_verify <0
ecdsa_verify_restartable: ecdsa_verify_restartable <0
mbedtls_ecp_muladd_restartable: mbedtls_ecp_muladd_restartable <0
mbedtls_blowfish_setkey: mbedtls_blowfish_setkey <0
all_or_nothing_int: all_or_nothing_int emptyset
psa_rsa_verify: psa_rsa_verify <0
exercise_mac_setup: exercise_mac_setup '==0
mbedtls_rsa_pkcs1_verify: mbedtls_rsa_pkcs1_verify <0
psa_sign_hash: psa_sign_hash <0
mbedtls_ssl_ciphersuite_uses_srv_cert: mbedtls_ssl_ciphersuite_uses_srv_cert emptyset
mbedtls_ecp_mul_shortcuts: mbedtls_ecp_mul_shortcuts <0
ssl_ciphersuite_match: ssl_ciphersuite_match <0
psa_ecdsa_sign: psa_ecdsa_sign <0
ecp_mul_comb: ecp_mul_comb <0
ecdsa_sign_det_restartable: ecdsa_sign_det_restartable <0
ct_lt_mpi_uint: ct_lt_mpi_uint emptyset
ssl_parse_client_key_exchange: ssl_parse_client_key_exchange <0
des3_ctx_alloc: des3_ctx_alloc '==0
mbedtls_hmac_drbg_seed_buf: mbedtls_hmac_drbg_seed_buf <0
mbedtls_ssl_check_record: mbedtls_ssl_check_record <0
mbedtls_rsa_rsassa_pss_sign: mbedtls_rsa_rsassa_pss_sign <0
mbedtls_rsa_rsassa_pkcs1_v15_sign: mbedtls_rsa_rsassa_pkcs1_v15_sign <0
psa_get_key_domain_parameters: psa_get_key_domain_parameters <0
des3_crypt_cbc_wrap: des3_crypt_cbc_wrap emptyset
mbedtls_aes_crypt_cfb128: mbedtls_aes_crypt_cfb128 <0
convert_params: convert_params <0
rsa_rsassa_pkcs1_v15_encode: rsa_rsassa_pkcs1_v15_encode <0
mbedtls_oid_get_oid_by_md: mbedtls_oid_get_oid_by_md <0
psa_get_key_id: psa_get_key_id emptyset
exercise_signature_key: exercise_signature_key '==0
mbedtls_ccm_encrypt_and_tag: mbedtls_ccm_encrypt_and_tag <0
ssl_parse_client_hello: ssl_parse_client_hello <0
mbedtls_gcm_auth_decrypt: mbedtls_gcm_auth_decrypt <0
chachapoly_crypt_and_tag: chachapoly_crypt_and_tag <0
mbedtls_poly1305_finish: mbedtls_poly1305_finish emptyset
mbedtls_ccm_star_encrypt_and_tag: mbedtls_ccm_star_encrypt_and_tag <0
psa_key_derivation_tls12_prf_generate_next_block: psa_key_derivation_tls12_prf_generate_next_block <0
ssl_parse_servername_ext: ssl_parse_servername_ext <0
mbedtls_gcm_finish: mbedtls_gcm_finish <0
mbedtls_x509write_crt_der: mbedtls_x509write_crt_der <0
mbedtls_aes_self_test: mbedtls_aes_self_test <0
dummy_constant_time: dummy_constant_time emptyset
mbedtls_ccm_setkey: mbedtls_ccm_setkey <0
psa_cipher_set_iv: psa_cipher_set_iv <0
psa_cipher_abort: psa_cipher_abort <0
mbedtls_ecp_curve_info_from_grp_id: mbedtls_ecp_curve_info_from_grp_id emptyset
rsa_get_bitlen: rsa_get_bitlen emptyset
mbedtls_cipher_info_from_psa: mbedtls_cipher_info_from_psa emptyset
mbedtls_rsa_complete: mbedtls_rsa_complete <0
ssl_parse_server_hello: ssl_parse_server_hello <0
exercise_mac_key: exercise_mac_key '==0
x509_crt_check_ee_locally_trusted: x509_crt_check_ee_locally_trusted emptyset
mbedtls_asn1_get_len: mbedtls_asn1_get_len <0
safer_memcmp: safer_memcmp emptyset
psa_mac_verify_setup: psa_mac_verify_setup <0
ecp_add_mixed: ecp_add_mixed <0
mbedtls_ecdsa_sign: mbedtls_ecdsa_sign <0
mbedtls_base64_self_test: mbedtls_base64_self_test >0
psa_hmac_finish_internal: psa_hmac_finish_internal <0
psa_hmac_abort_internal: psa_hmac_abort_internal <0
ssl_parse_certificate_chain: ssl_parse_certificate_chain <0
ecdh_make_public_internal: ecdh_make_public_internal <0
psa_hash_finish: psa_hash_finish <0
ecp_mod_p192: ecp_mod_p192 <0
psa_cipher_init: psa_cipher_init <0
psa_cipher_decrypt_setup: psa_cipher_decrypt_setup <0
x509_get_entries: x509_get_entries <0
usage_to_exercise: usage_to_exercise emptyset
ssl_flight_append: ssl_flight_append <0
exercise_export_key: exercise_export_key '==0
psa_aead_encrypt: psa_aead_encrypt <0
ssl_srv_check_client_no_crt_notification: ssl_srv_check_client_no_crt_notification <0
exported_key_sanity_check: exported_key_sanity_check '==0
ecp_normalize_mxz: ecp_normalize_mxz <0
mbedtls_md_get_type: mbedtls_md_get_type emptyset
mbedtls_ssl_get_alpn_protocol: mbedtls_ssl_get_alpn_protocol emptyset
mem_is_char: mem_is_char emptyset
mbedtls_rsa_deduce_primes: mbedtls_rsa_deduce_primes <0
construct_fake_rsa_key: construct_fake_rsa_key <0
ssl_parse_alpn_ext: ssl_parse_alpn_ext <0
asn1_write_10x: asn1_write_10x <0
mbedtls_asn1_write_octet_string: mbedtls_asn1_write_octet_string <0
eckey_verify_wrap: eckey_verify_wrap <0
psa_mac_update: psa_mac_update <0
mbedtls_asn1_write_raw_buffer: mbedtls_asn1_write_raw_buffer <0
mbedtls_ecp_gen_key: mbedtls_ecp_gen_key <0
mbedtls_ssl_own_cert: mbedtls_ssl_own_cert emptyset
mbedtls_gcm_self_test: mbedtls_gcm_self_test <0
mbedtls_oid_get_oid_by_ec_grp: mbedtls_oid_get_oid_by_ec_grp <0
mbedtls_hmac_drbg_reseed: mbedtls_hmac_drbg_reseed <0
asn1_write_tagged_int: asn1_write_tagged_int <0
mbedtls_poly1305_self_test: mbedtls_poly1305_self_test <0
pk_write_pubkey_simple: pk_write_pubkey_simple <0
mbedtls_ecdh_calc_secret: mbedtls_ecdh_calc_secret <0
ecp_mul_comb_after_precomp: ecp_mul_comb_after_precomp <0
psa_key_derivation_key_agreement: psa_key_derivation_key_agreement <0
mbedtls_mpi_write_binary_le: mbedtls_mpi_write_binary_le <0
mbedtls_ecdsa_can_do: mbedtls_ecdsa_can_do emptyset
mbedtls_ssl_set_hs_psk: mbedtls_ssl_set_hs_psk <0
pk_write_rsa_pubkey: pk_write_rsa_pubkey <0
mbedtls_hardclock_poll: mbedtls_hardclock_poll emptyset
mbedtls_ssl_tls_prf: mbedtls_ssl_tls_prf <0
mbedtls_ecdh_make_params: mbedtls_ecdh_make_params <0
mbedtls_ecp_point_write_binary: mbedtls_ecp_point_write_binary <0
x509_crt_parse_der_core: x509_crt_parse_der_core <0
mgf_mask: mgf_mask <0
psa_get_rsa_public_exponent: psa_get_rsa_public_exponent <0
psa_copy_key: psa_copy_key <0
psa_cipher_encrypt_setup: psa_cipher_encrypt_setup <0
mbedtls_pk_verify_ext: mbedtls_pk_verify_ext <0
psa_finish_key_creation: psa_finish_key_creation emptyset
ssl_check_record_type: ssl_check_record_type <0
psa_validate_optional_attributes: psa_validate_optional_attributes <0
mbedtls_chachapoly_encrypt_and_tag: mbedtls_chachapoly_encrypt_and_tag <0
psa_import_rsa_key: psa_import_rsa_key <0
psa_check_rsa_key_byte_aligned: psa_check_rsa_key_byte_aligned <0
ecp_double_jac: ecp_double_jac <0
mbedtls_pk_get_type: mbedtls_pk_get_type emptyset
mbedtls_pk_parse_key: mbedtls_pk_parse_key <0
mul64: mul64 emptyset
ecp_mod_p192k1: ecp_mod_p192k1 <0
psa_key_derivation_setup: psa_key_derivation_setup <0
mbedtls_cipher_crypt: mbedtls_cipher_crypt <0
mbedtls_pkcs5_pbkdf2_hmac: mbedtls_pkcs5_pbkdf2_hmac <0
mbedtls_md_hmac_reset: mbedtls_md_hmac_reset <0
mbedtls_rsa_export: mbedtls_rsa_export <0
mbedtls_asn1_write_null: mbedtls_asn1_write_null <0
mbedtls_md_hmac_update: mbedtls_md_hmac_update <0
mbedtls_md_hmac_starts: mbedtls_md_hmac_starts <0
mbedtls_pem_read_buffer: mbedtls_pem_read_buffer <0
ssl_parse_max_fragment_length_ext: ssl_parse_max_fragment_length_ext <0
x509_parse_time: x509_parse_time <0
mbedtls_cipher_reset: mbedtls_cipher_reset <0
ssl_write_client_key_exchange: ssl_write_client_key_exchange <0
psa_aead_unpadded_locate_tag: psa_aead_unpadded_locate_tag <0
mbedtls_oid_get_cipher_alg: mbedtls_oid_get_cipher_alg <0
mbedtls_ssl_send_alert_message: mbedtls_ssl_send_alert_message <0
mbedtls_x509_write_extensions: mbedtls_x509_write_extensions <0
psa_get_key_slot: psa_get_key_slot <0
ssl_parse_new_session_ticket: ssl_parse_new_session_ticket <0
mbedtls_ctr_drbg_random: mbedtls_ctr_drbg_random <0
fix_negative: fix_negative <0
mbedtls_ssl_session_reset_int: mbedtls_ssl_session_reset_int <0
pkcs5_parse_pbkdf2_params: pkcs5_parse_pbkdf2_params <0
mbedtls_oid_get_md_hmac: mbedtls_oid_get_md_hmac <0
psa_key_policy_algorithm_intersection: psa_key_policy_algorithm_intersection emptyset
psa_cipher_finish: psa_cipher_finish <0
mbedtls_x509_crt_verify_info: mbedtls_x509_crt_verify_info <0
mbedtls_mpi_gcd: mbedtls_mpi_gcd <0
x509_get_current_time: x509_get_current_time <0
mbedtls_ecdsa_read_signature_restartable: mbedtls_ecdsa_read_signature_restartable <0
ecdsa_sign_wrap: ecdsa_sign_wrap <0
psa_get_key_algorithm: psa_get_key_algorithm emptyset
mbedtls_asn1_write_tag: mbedtls_asn1_write_tag <0
mbedtls_x509_get_alg: mbedtls_x509_get_alg '==0
mbedtls_ssl_set_hostname: mbedtls_ssl_set_hostname <0
mbedtls_hmac_drbg_update_ret: mbedtls_hmac_drbg_update_ret <0
mbedtls_asn1_traverse_sequence_of: mbedtls_asn1_traverse_sequence_of <0
mbedtls_ssl_sig_from_pk_alg: mbedtls_ssl_sig_from_pk_alg emptyset
mbedtls_ssl_read: mbedtls_ssl_read <0
mbedtls_mpi_lsb: mbedtls_mpi_lsb emptyset
mbedtls_int_div_int: mbedtls_int_div_int emptyset
mbedtls_mpi_shift_r: mbedtls_mpi_shift_r <0
pk_use_ecparams: pk_use_ecparams <0
ferror: ferror emptyset
mbedtls_ripemd160_finish_ret: mbedtls_ripemd160_finish_ret emptyset
mbedtls_ecp_read_key: mbedtls_ecp_read_key <0
x509_get_subject_alt_name: x509_get_subject_alt_name <0
mbedtls_mpi_gen_prime: mbedtls_mpi_gen_prime <0
pk_parse_key_pkcs8_unencrypted_der: pk_parse_key_pkcs8_unencrypted_der <0
mbedtls_ecdsa_write_signature: mbedtls_ecdsa_write_signature <0
psa_mac_setup: psa_mac_setup <0
psa_get_key_slot_bits: psa_get_key_slot_bits emptyset
chacha20_setkey_wrap: chacha20_setkey_wrap <0
ssl_load_six_bytes: ssl_load_six_bytes emptyset
ssl_pick_cert: ssl_pick_cert <0
mbedtls_mpi_mul_mod: mbedtls_mpi_mul_mod <0
mbedtls_cipher_finish: mbedtls_cipher_finish <0
ssl_cookie_hmac: ssl_cookie_hmac <0
pem_des_decrypt: pem_des_decrypt <0
ecdh_get_params_internal: ecdh_get_params_internal <0
mbedtls_ecp_copy: mbedtls_ecp_copy <0
mbedtls_mpi_sub_int: mbedtls_mpi_sub_int <0
feof: feof emptyset
key_agreement_with_self: key_agreement_with_self <0
getsockname: getsockname <0
psa_asymmetric_verify: psa_asymmetric_verify <0
mbedtls_cipher_update: mbedtls_cipher_update <0
psa_key_derivation_abort: psa_key_derivation_abort <0
mbedtls_asn1_write_named_bitstring: mbedtls_asn1_write_named_bitstring <0
mbedtls_mpi_sub_mpi: mbedtls_mpi_sub_mpi <0
mbedtls_mpi_fill_random: mbedtls_mpi_fill_random <0
ssl_prepare_server_key_exchange: ssl_prepare_server_key_exchange <0
asn1_get_tagged_int: asn1_get_tagged_int <0
mbedtls_md5_starts_ret: mbedtls_md5_starts_ret emptyset
ecdsa_can_do: ecdsa_can_do emptyset
mbedtls_ecc_group_of_psa: mbedtls_ecc_group_of_psa emptyset
ecdh_read_public_internal: ecdh_read_public_internal <0
mbedtls_ssl_ciphersuite_uses_dhe: mbedtls_ssl_ciphersuite_uses_dhe emptyset
ecp_mul_comb_core: ecp_mul_comb_core <0
mbedtls_mpi_shrink: mbedtls_mpi_shrink <0
mbedtls_mpi_copy: mbedtls_mpi_copy <0
oid_grp_id_from_asn1: oid_grp_id_from_asn1 emptyset
mbedtls_mpi_grow: mbedtls_mpi_grow <0
dup: dup <0
pk_get_rsapubkey: pk_get_rsapubkey <0
mbedtls_x509_get_sig_alg: mbedtls_x509_get_sig_alg <0
mbedtls_mpi_div_mpi: mbedtls_mpi_div_mpi <0
mbedtls_ecp_group_copy: mbedtls_ecp_group_copy <0
mbedtls_mpi_add_mpi: mbedtls_mpi_add_mpi <0
psa_get_empty_key_slot: psa_get_empty_key_slot <0
mbedtls_ecp_mul_restartable: mbedtls_ecp_mul_restartable <0
mbedtls_ecdsa_genkey: mbedtls_ecdsa_genkey <0
exercise_raw_key_agreement_key: exercise_raw_key_agreement_key '==0
F: F emptyset
mbedtls_asn1_get_mpi: mbedtls_asn1_get_mpi <0
mbedtls_ssl_get_max_out_record_payload: mbedtls_ssl_get_max_out_record_payload <0
psa_validate_key_attributes: psa_validate_key_attributes <0
mbedtls_x509_crl_parse: mbedtls_x509_crl_parse <0
psa_asymmetric_decrypt: psa_asymmetric_decrypt <0
psa_wipe_key_slot: psa_wipe_key_slot <0
exercise_aead_key: exercise_aead_key '==0
x509_get_attr_type_value: x509_get_attr_type_value <0
good_nonce_len: good_nonce_len emptyset
ssl_mfl_code_to_length: ssl_mfl_code_to_length emptyset
mbedtls_x509_crl_parse_der: mbedtls_x509_crl_parse_der <0
key_type_is_raw_bytes: key_type_is_raw_bytes emptyset
mbedtls_to_psa_error: mbedtls_to_psa_error <0
mpi_get_digit: mpi_get_digit <0
accept: accept <0
mbedtls_ecdh_grp_id: mbedtls_ecdh_grp_id emptyset
mbedtls_mpi_mod_int: mbedtls_mpi_mod_int <0
ecp_use_curve448: ecp_use_curve448 <0
psa_key_agreement_ecdh: psa_key_agreement_ecdh <0
mbedtls_pkcs12_derivation: mbedtls_pkcs12_derivation <0
mbedtls_pk_parse_subpubkey: mbedtls_pk_parse_subpubkey <0
redirect_output: redirect_output <0
mbedtls_mpi_get_bit: mbedtls_mpi_get_bit emptyset
mbedtls_des3_set2key_dec: mbedtls_des3_set2key_dec emptyset
prepare_raw_data_slot: prepare_raw_data_slot <0
mbedtls_internal_aes_decrypt: mbedtls_internal_aes_decrypt emptyset
mbedtls_mpi_is_prime: mbedtls_mpi_is_prime <0
psa_import_key: psa_import_key <0
mbedtls_x509_self_test: mbedtls_x509_self_test <0
psa_tls12_prf_set_key: psa_tls12_prf_set_key <0
ssl_append_key_cert: ssl_append_key_cert <0
mbedtls_sha256_update_ret: mbedtls_sha256_update_ret emptyset
mbedtls_aes_xts_setkey_enc: mbedtls_aes_xts_setkey_enc <0
mbedtls_pk_write_key_der: mbedtls_pk_write_key_der <0
mbedtls_mpi_bitlen: mbedtls_mpi_bitlen emptyset
mbedtls_ecp_gen_privkey: mbedtls_ecp_gen_privkey <0
psa_destroy_key: psa_destroy_key <0
mbedtls_des_key_check_key_parity: mbedtls_des_key_check_key_parity emptyset
psa_tls12_prf_psk_to_ms_input: psa_tls12_prf_psk_to_ms_input <0
get_expression: get_expression emptyset
ssl_consume_current_message: ssl_consume_current_message <0
mbedtls_internal_aes_encrypt: mbedtls_internal_aes_encrypt emptyset
mpi_uint_bigendian_to_host: mpi_uint_bigendian_to_host emptyset
pem_aes_decrypt: pem_aes_decrypt <0
mbedtls_aesni_crypt_ecb: mbedtls_aesni_crypt_ecb emptyset
mbedtls_ssl_conf_psk: mbedtls_ssl_conf_psk <0
mbedtls_rsa_import: mbedtls_rsa_import '==0
ssl_double_retransmit_timeout: ssl_double_retransmit_timeout emptyset
mbedtls_rsa_rsassa_pss_verify: mbedtls_rsa_rsassa_pss_verify <0
mbedtls_pk_encrypt: mbedtls_pk_encrypt <0
select: select <0
mbedtls_rsa_rsaes_oaep_decrypt: mbedtls_rsa_rsaes_oaep_decrypt <0
mbedtls_sha512_finish_ret: mbedtls_sha512_finish_ret emptyset
mbedtls_x509_set_extension: mbedtls_x509_set_extension <0
readdir64: readdir64 '==0
mbedtls_rsa_get_len: mbedtls_rsa_get_len emptyset
mbedtls_md5_update_ret: mbedtls_md5_update_ret emptyset
opendir: opendir '==0
chacha20_ctx_alloc: chacha20_ctx_alloc '==0
ecp_normalize_jac_many: ecp_normalize_jac_many <0
mbedtls_oid_get_pk_alg: mbedtls_oid_get_pk_alg <0
mbedtls_md_get_size: mbedtls_md_get_size emptyset
ssl_parse_supported_point_formats: ssl_parse_supported_point_formats <0
mbedtls_aesni_has_support: mbedtls_aesni_has_support emptyset
psa_hash_compute: psa_hash_compute <0
strcmp: strcmp emptyset
fwrite: fwrite emptyset
connect: connect <0
x509_crt_check_signature: x509_crt_check_signature <0
mbedtls_mpi_mul_mpi: mbedtls_mpi_mul_mpi <0
closedir: closedir <0
mbedtls_rsa_pkcs1_decrypt: mbedtls_rsa_pkcs1_decrypt <0
mbedtls_ssl_flush_output: mbedtls_ssl_flush_output <0
close: close <0
getsockopt: getsockopt <0
psa_cipher_setup: psa_cipher_setup <0
mbedtls_ssl_md_alg_from_hash: mbedtls_ssl_md_alg_from_hash emptyset
fseek: fseek <0
ssl_parse_hello_verify_request: ssl_parse_hello_verify_request <0
mbedtls_mpi_read_binary: mbedtls_mpi_read_binary <0
strdup: strdup '==0
get_no_padding: get_no_padding <0
aes_crypt_cbc_wrap: aes_crypt_cbc_wrap <0
mbedtls_x509_time_is_future: mbedtls_x509_time_is_future >0
psa_calculate_key_bits: psa_calculate_key_bits emptyset
mbedtls_ssl_get_bytes_avail: mbedtls_ssl_get_bytes_avail emptyset
mpi_write_hlp: mpi_write_hlp <0
ssl_handle_possible_reconnect: ssl_handle_possible_reconnect <0
mbedtls_mpi_write_string: mbedtls_mpi_write_string <0
rand: rand emptyset
fprintf: fprintf <0
mbedtls_ecdsa_sign_det_ext: mbedtls_ecdsa_sign_det_ext <0
strlen: strlen emptyset
rnd_zero_rand: rnd_zero_rand emptyset
mbedtls_ssl_handshake_server_step: mbedtls_ssl_handshake_server_step <0
getenv: getenv '==0
ssl_get_hs_frag_len: ssl_get_hs_frag_len emptyset
ssl_parse_extended_ms_ext: ssl_parse_extended_ms_ext <0
shutdown: shutdown <0
ecdsa_signature_to_asn1: ecdsa_signature_to_asn1 <0
psa_hash_setup: psa_hash_setup <0
mbedtls_asn1_write_bool: mbedtls_asn1_write_bool <0
mbedtls_md_info_from_type: mbedtls_md_info_from_type emptyset
gmtime_r: gmtime_r '==0
ssl_parse_certificate_coordinate: ssl_parse_certificate_coordinate emptyset
x509_check_wildcard: x509_check_wildcard emptyset
ssl_ticket_update_keys: ssl_ticket_update_keys <0
ctr_drbg_self_test_entropy: ctr_drbg_self_test_entropy emptyset
x509_get_dates: x509_get_dates <0
psa_set_key_domain_parameters: psa_set_key_domain_parameters <0
psa_hash_abort: psa_hash_abort <0
mbedtls_aes_setkey_enc: mbedtls_aes_setkey_enc <0
ssl_write_certificate_request: ssl_write_certificate_request <0
strncpy: strncpy emptyset
mbedtls_mpi_set_bit: mbedtls_mpi_set_bit <0
psa_key_derivation_get_kdf_alg: psa_key_derivation_get_kdf_alg emptyset
mbedtls_des_crypt_ecb: mbedtls_des_crypt_ecb emptyset
ssl_session_save: ssl_session_save <0
mbedtls_mpi_mod_mpi: mbedtls_mpi_mod_mpi <0
mbedtls_x509_crt_verify_with_profile: mbedtls_x509_crt_verify_with_profile <0
psa_is_key_slot_occupied: psa_is_key_slot_occupied emptyset
blowfish_ctx_alloc: blowfish_ctx_alloc '==0
psa_raw_key_agreement: psa_raw_key_agreement <0
psa_close_key: psa_close_key <0
mbedtls_mpi_lset: mbedtls_mpi_lset <0
mbedtls_rsa_check_pubkey: mbedtls_rsa_check_pubkey <0
psa_mac_init: psa_mac_init <0
printf: printf <0
eckey_get_bitlen: eckey_get_bitlen emptyset
mbedtls_ssl_conf_own_cert: mbedtls_ssl_conf_own_cert <0
exercise_cipher_key: exercise_cipher_key '==0
mbedtls_pk_setup: mbedtls_pk_setup <0
mbedtls_xtea_crypt_cbc: mbedtls_xtea_crypt_cbc <0
psa_validate_key_policy: psa_validate_key_policy <0
ssl_get_next_record: ssl_get_next_record <0
mbedtls_internal_sha1_process: mbedtls_internal_sha1_process emptyset
mbedtls_internal_sha256_process: mbedtls_internal_sha256_process emptyset
strncmp: strncmp emptyset
fgets: fgets '==0
mbedtls_cipher_auth_decrypt: mbedtls_cipher_auth_decrypt <0
fflush: fflush <0
mbedtls_md_update: mbedtls_md_update <0
psa_tls12_prf_input: psa_tls12_prf_input <0
ecp_use_curve25519: ecp_use_curve25519 <0
mbedtls_psa_crypto_configure_entropy_sources: mbedtls_psa_crypto_configure_entropy_sources <0
rsa_check_context: rsa_check_context <0
x509_profile_check_key: x509_profile_check_key <0
gettimeofday: gettimeofday <0
psa_generate_derived_key_internal: psa_generate_derived_key_internal <0
mbedtls_ssl_own_key: mbedtls_ssl_own_key emptyset
ecp_check_pubkey_sw: ecp_check_pubkey_sw <0
psa_get_key_type: psa_get_key_type emptyset
test_helper_is_psa_pristine: test_helper_is_psa_pristine emptyset
mbedtls_oid_get_attr_short_name: mbedtls_oid_get_attr_short_name <0
mbedtls_mpi_safe_cond_swap: mbedtls_mpi_safe_cond_swap <0
mbedtls_mpi_size: mbedtls_mpi_size emptyset
mbedtls_md_hmac_finish: mbedtls_md_hmac_finish <0
memcmp: memcmp emptyset
